transaction_id,customer_id,date,order_value,product_category,is_return
T00383,C0361,2024-05-14,239.65,Beauty,False
T01838,C0127,2023-12-09,59.03,Electronics,False
T01623,C0384,2023-04-11,94.28,Electronics,False
T01712,C0152,2023-08-19,153.44,Beauty,False
T01737,C0368,2024-06-22,5500.0,Clothing,False
T00308,C0267,2024-02-13,109.9,Beauty,False
T01001,C0361,2024-04-03,100.96,Home & Living,False
T01194,C0398,2023-11-13,162.0,Beauty,False
T01252,C0133,2022-06-02,83.21,Beauty,False
T01023,C0206,2023-08-18,22.57,Clothing,False
T02146,C0063,2024-02-18,10.0,Clothing,False
T00169,C0093,2024-05-16,131.69,Clothing,False
T01316,C0373,2024-06-09,147.34,Clothing,False
T00219,C0068,2023-02-22,146.49,Electronics,True
T00185,C0269,2023-04-08,69.16,Clothing,False
T01208,C0361,2024-01-08,14.28,Food & Grocery,False
T00368,C0500,2023-04-03,90.96,Electronics,False
T00508,C0460,2024-01-26,159.7,,False
T00354,C0293,2023-06-29,110.72,Electronics,False
T00298,C0119,2022-10-27,72.1,Beauty,False
T00856,C0175,2024-04-28,45.19,Electronics,False
T00325,C0197,2022-11-12,13.36,Home & Living,True
T00652,C0214,2024-02-09,285.3,Home & Living,False
T02051,C0336,2024-06-04,598.2,Electronics,False
T00322,C0416,2022-05-05,129.09,Home & Living,False
T00112,C0242,2024-02-14,713.6,Electronics,False
T01274,C0368,2024-06-04,30.83,Clothing,False
T01537,C0274,2023-02-06,199.87,Food & Grocery,False
T00994,C0079,2024-05-04,44.85,Clothing,True
T00333,C0465,2024-03-05,66.49,Beauty,False
T00352,C0044,2022-04-28,161.23,Sports,False
T00423,C0112,2023-12-03,335.24,Clothing,False
T01609,C0370,2023-08-16,337.13,Beauty,False
T00074,C0361,2024-03-30,73.29,Clothing,True
T00799,C0302,2023-06-14,63.02,Clothing,False
T01182,C0063,2022-04-04,82.19,,False
T01925,C0291,2023-12-22,70.3,Beauty,False
T00737,C0370,2024-02-12,25.61,Clothing,False
T01238,C0212,2024-03-11,32.19,Beauty,False
T00252,C0374,2024-03-07,59.21,Home & Living,False
T00299,C0415,2023-05-14,39.29,Food & Grocery,False
T01860,C0031,2024-05-10,94.08,Clothing,True
T00591,C0155,2022-10-16,86.82,Food & Grocery,False
T00966,C0210,2024-01-02,48.3,Food & Grocery,False
T01526,C0120,2024-01-14,100.95,Home & Living,False
T01398,C0490,2023-11-23,219.13,Clothing,False
T01834,C0484,2023-06-27,212.49,Electronics,False
T00998,C0120,2023-08-09,43.19,Electronics,False
T00290,C0388,2024-04-22,29.21,Home & Living,False
T01500,C0232,2023-04-15,114.35,Clothing,True
T02147,C0173,2023-11-16,203.83,Sports,False
T01129,C0369,2024-03-24,286.88,Beauty,False
T00388,C0157,2023-09-25,131.0,Clothing,False
T00421,C0012,2024-01-05,411.67,Clothing,False
T00071,C0051,2024-06-06,382.25,Beauty,False
T01286,C0036,2023-05-27,43.89,Clothing,False
T00410,C0497,2023-08-26,40.51,Food & Grocery,False
T01933,C0368,2023-12-17,27.98,Clothing,False
T00495,C0088,2022-12-12,44.67,Home & Living,False
T00880,C0293,2023-10-03,173.1,Home & Living,False
T02092,C0019,2023-08-25,49.92,Electronics,False
T01308,C0410,2023-11-23,61.17,Clothing,False
T01346,C0133,2022-06-23,73.23,Clothing,False
T01927,C0119,2022-06-20,100.53,Clothing,False
T02137,C0473,2022-06-24,46.54,Clothing,False
T00248,C0111,2023-04-08,225.93,Home & Living,False
T00070,C0087,2024-01-08,193.71,Sports,False
T01315,C0300,2024-02-16,20.83,Clothing,False
T01284,C0091,2023-12-06,185.19,Food & Grocery,False
T00555,C0449,2023-04-03,123.43,Home & Living,False
T00110,C0267,2024-05-17,160.66,Electronics,False
T01056,C0429,2024-05-20,24.21,Electronics,False
T01630,C0276,2024-04-23,156.01,Food & Grocery,False
T01288,C0402,2023-06-26,62.24,Beauty,False
T00068,C0022,2024-03-28,125.55,Electronics,False
T01421,C0304,2024-01-28,71.5,Electronics,False
T00135,C0099,2024-03-28,259.35,Electronics,False
T01183,C0341,2023-08-09,80.24,Home & Living,False
T01117,C0372,2022-06-09,186.45,Home & Living,False
T01375,C0063,2024-04-22,52.01,Home & Living,False
T02049,C0208,2024-03-08,32.58,Beauty,False
T00809,C0214,2024-04-16,117.96,Clothing,False
T00232,C0133,2022-04-24,102.45,Beauty,False
T00680,C0061,2023-11-09,56.09,Beauty,False
T01751,C0160,2023-06-17,16.65,Electronics,False
T01962,C0247,2024-06-11,45.92,Beauty,False
T01293,C0143,2023-03-25,37.39,Clothing,False
T00241,C0276,2023-07-25,34.81,Clothing,False
T01249,C0318,2024-04-10,63.42,Home & Living,False
T00904,C0048,2023-10-10,608.12,Home & Living,False
T01290,C0031,2023-11-13,117.77,Food & Grocery,False
T02033,C0024,2024-04-09,84.31,Electronics,False
T00234,C0369,2023-10-26,101.44,Clothing,False
T01756,C0088,2024-04-30,32.18,Home & Living,False
T01968,C0276,2024-02-25,148.4,Home & Living,False
T00136,C0363,2023-07-28,78.63,Clothing,False
T00197,C0017,2023-09-15,24.4,Home & Living,False
T01904,C0017,2024-05-05,98.86,Home & Living,True
T00276,C0335,2023-11-16,55.13,Home & Living,False
T01538,C0446,2022-12-25,221.82,Clothing,False
T01832,C0099,2023-12-27,194.39,Clothing,False
T00868,C0363,2023-09-10,26.97,Electronics,True
T00675,C0454,2024-04-25,104.32,Clothing,False
T01880,C0186,2023-06-04,48.13,,False
T01450,C0082,2024-02-14,105.92,Beauty,True
T00369,C0206,2023-09-07,77.99,Beauty,False
T00633,C0318,2024-04-24,114.2,Electronics,False
T00362,C0211,2024-04-05,53.03,Clothing,False
T00129,C0293,2023-11-11,55.47,Sports,False
T00942,C0089,2023-09-29,108.25,,False
T00965,C0234,2024-04-12,306.21,Clothing,False
T00562,C0269,2023-08-13,357.0,Electronics,False
T00606,C0367,2023-03-12,69.75,Electronics,False
T01653,C0415,2022-12-12,46.07,Home & Living,False
T00052,C0241,2024-01-05,37.98,Home & Living,False
T01955,C0179,2024-05-07,210.4,Sports,False
T01305,C0063,2023-11-21,34.25,Home & Living,False
T01592,C0111,2023-11-04,48.76,Clothing,False
T01474,C0361,2024-05-21,48.91,Food & Grocery,False
T01069,C0227,2023-12-12,174.77,Electronics,False
T01666,C0368,2023-10-10,55.81,Sports,False
T02132,C0215,2023-10-31,53.87,Clothing,False
T02199,C0077,2023-03-16,34.69,Clothing,False
T00409,C0211,2024-05-06,112.0,Electronics,False
T01563,C0353,2023-09-08,117.53,Electronics,False
T01603,C0375,2024-05-12,114.18,Electronics,True
T00533,C0382,2023-07-31,117.37,Food & Grocery,False
T00291,C0466,2024-04-22,63.21,Home & Living,False
T02081,C0361,2024-05-02,156.11,Electronics,False
T01337,C0229,2024-02-01,199.9,Clothing,True
T00431,C0042,2022-09-08,57.83,Sports,False
T02117,C0255,2022-12-05,38.72,Home & Living,True
T00544,C0112,2023-11-30,55.53,Sports,False
T00427,C0004,2022-12-24,53.76,Food & Grocery,False
T02127,C0240,2023-02-15,212.76,Food & Grocery,False
T00813,C0143,2023-11-29,155.82,Beauty,False
T01793,C0057,2024-03-15,27.88,Clothing,False
T02037,C0272,2023-06-20,129.04,Sports,False
T01303,C0096,2024-05-23,78.68,Clothing,False
T01492,C0077,2024-06-18,68.33,Sports,False
T00933,C0088,2023-02-19,79.03,Beauty,False
T01750,C0415,2023-12-11,44.15,Food & Grocery,False
T02015,C0210,2023-11-28,270.34,Clothing,False
T01799,C0302,2023-06-07,760.16,Beauty,False
T00260,C0175,2022-11-21,35.05,Clothing,False
T01861,C0229,2023-12-04,463.57,Clothing,True
T00597,C0302,2023-05-21,142.07,Home & Living,False
T01658,C0044,2022-08-27,27.52,Clothing,False
T00189,C0048,2024-06-07,18.19,Food & Grocery,False
T01749,C0094,2024-03-02,45.25,Clothing,True
T01495,C0415,2023-03-29,58.2,Electronics,False
T01191,C0057,2024-02-08,832.12,Electronics,True
T01743,C0154,2023-11-22,126.21,Beauty,False
T01042,C0276,2023-12-20,37.42,Electronics,False
T01285,C0089,2024-03-25,168.56,Clothing,False
T00773,C0035,2023-09-21,97.74,,False
T01878,C0497,2024-04-15,42.7,Beauty,False
T00049,C0083,2024-05-07,39.62,Sports,False
T02176,C0500,2023-11-11,114.56,Home & Living,False
T02102,C0500,2023-12-02,90.88,Clothing,True
T00760,C0482,2024-04-15,37.37,Clothing,False
T00980,C0234,2024-05-02,193.38,Sports,False
T01314,C0279,2024-02-08,13.4,Beauty,False
T00121,C0435,2024-05-28,53.9,Home & Living,False
T02025,C0096,2024-06-13,93.17,Clothing,False
T00212,C0126,2024-03-28,36.58,Beauty,False
T01783,C0259,2023-04-25,254.68,Clothing,False
T01460,C0202,2022-10-22,75.17,Sports,False
T00057,C0468,2024-01-10,113.61,Electronics,False
T01768,C0497,2023-10-20,36.42,Clothing,False
T00857,C0383,2023-02-06,514.32,Home & Living,False
T02091,C0124,2024-02-08,117.8,Food & Grocery,False
T01652,C0085,2023-12-02,28.59,Food & Grocery,False
T00793,C0280,2023-02-28,50.74,Home & Living,False
T00589,C0368,2023-09-22,88.74,Beauty,False
T01901,C0211,2024-03-23,307.61,Electronics,False
T01879,C0372,2023-03-27,14.46,Home & Living,False
T01731,C0210,2023-06-21,202.08,Clothing,False
T00384,C0453,2024-01-01,76.85,Electronics,False
T01533,C0170,2022-12-10,74.42,Sports,False
T00530,C0395,2024-03-11,78.68,Sports,False
T00304,C0407,2024-06-22,49.48,Electronics,False
T00745,C0029,2023-11-28,44.04,Clothing,False
T02007,C0259,2023-04-09,410.88,Clothing,False
T01655,C0078,2024-05-16,28.81,Electronics,False
T00479,C0133,2022-11-30,68.59,Clothing,False
T01581,C0048,2022-12-19,22.91,Electronics,False
T01565,C0240,2023-08-05,60.38,Food & Grocery,False
T01870,C0078,2023-10-13,116.51,Electronics,False
T00638,C0294,2023-05-27,73.22,Sports,False
T00943,C0027,2023-05-02,36.35,Home & Living,False
T00045,C0466,2024-02-11,605.09,Electronics,False
T00164,C0302,2023-03-31,106.51,Electronics,False
T01345,C0368,2023-07-04,211.09,Clothing,False
T01938,C0206,2024-01-22,85.54,Home & Living,False
T01747,C0031,2024-04-11,35.47,Electronics,False
T00193,C0100,2023-09-05,102.93,Clothing,False
T01164,C0351,2024-04-02,255.92,Clothing,True
T00782,C0234,2024-04-29,166.85,Sports,False
T00619,C0474,2023-04-09,92.14,Electronics,False
T01916,C0229,2024-03-02,245.58,Home & Living,False
T01477,C0308,2023-10-16,122.24,Home & Living,False
T01030,C0112,2023-11-27,250.35,Electronics,False
T00283,C0383,2023-08-24,45.58,Sports,True
T00486,C0049,2022-06-12,22.32,Food & Grocery,False
T02161,C0031,2024-04-27,149.64,Electronics,False
T00231,C0455,2024-04-24,51.44,Home & Living,False
T00681,C0133,2024-06-13,119.9,,False
T00417,C0410,2024-05-25,52.75,Beauty,False
T01553,C0063,2024-01-14,283.57,Home & Living,False
T01825,C0234,2024-06-21,33.01,Clothing,False
T00940,C0358,2024-04-05,50.68,,False
T01034,C0014,2022-05-12,193.65,Food & Grocery,False
T00240,C0361,2024-05-04,115.49,Beauty,False
T00100,C0361,2024-03-01,453.99,Clothing,False
T01059,C0140,2023-05-28,72.79,Clothing,False
T01782,C0368,2023-12-04,194.77,Electronics,False
T02013,C0112,2024-01-08,78.67,Home & Living,False
T01976,C0092,2023-12-23,136.04,Clothing,False
T01019,C0371,2024-04-30,321.54,Electronics,False
T00892,C0203,2024-06-21,203.57,Electronics,False
T00355,C0201,2023-11-08,234.26,Clothing,True
T00753,C0276,2024-02-28,246.19,Home & Living,False
T00125,C0325,2023-10-14,328.66,Clothing,False
T01852,C0193,2024-04-12,92.36,Sports,False
T00186,C0283,2023-11-17,343.74,Beauty,False
T00472,C0126,2023-12-18,179.8,Beauty,False
T00351,C0116,2024-05-25,100.33,Clothing,False
T00066,C0227,2023-11-09,38.14,Home & Living,False
T00509,C0446,2024-05-18,22.55,Clothing,False
T00411,C0215,2024-06-08,89.82,Electronics,False
T00742,C0031,2024-06-01,11.97,Home & Living,True
T01423,C0120,2023-11-09,72.53,Clothing,False
T00964,C0481,2024-02-12,106.52,Beauty,False
T01048,C0210,2023-10-02,99.82,Clothing,False
T00436,C0175,2022-09-02,22.33,Clothing,False
T00722,C0363,2023-09-01,274.23,Clothing,False
T00635,C0267,2024-02-16,71.67,Clothing,False
T00220,C0410,2024-01-29,57.64,Home & Living,False
T01673,C0410,2024-01-01,35.82,Sports,False
T01323,C0310,2024-05-06,44.31,Home & Living,False
T01804,C0041,2023-03-08,68.46,Food & Grocery,False
T01319,C0035,2024-01-08,74.05,Clothing,False
T00213,C0416,2022-08-22,37.45,Home & Living,False
T02119,C0455,2023-11-26,84.26,Home & Living,False
T01992,C0310,2024-01-19,162.85,Clothing,False
T01671,C0202,2023-04-13,128.23,Electronics,False
T02002,C0241,2023-12-31,85.99,Sports,False
T00980,C0234,2024-05-02,193.38,Sports,False
T01611,C0190,2024-05-19,87.74,Clothing,False
T01839,C0068,2023-03-20,89.65,Home & Living,False
T00565,C0083,2024-05-18,62.91,Clothing,False
T01815,C0119,2023-06-21,264.9,Clothing,False
T00211,C0358,2022-12-24,33.32,Food & Grocery,False
T01197,C0059,2023-11-20,501.03,Home & Living,False
T00300,C0083,2024-01-16,76.5,Electronics,False
T00307,C0401,2024-03-16,113.84,Sports,False
T00487,C0175,2023-12-16,55.36,Clothing,False
T00716,C0027,2023-08-07,41.1,Clothing,False
T00950,C0024,2024-05-17,50.33,Electronics,False
T01134,C0361,2024-05-11,127.61,Sports,False
T00221,C0229,2024-04-15,56.31,Home & Living,True
T01539,C0382,2023-09-08,36.46,Sports,False
T00238,C0063,2022-05-23,161.81,Electronics,False
T00818,C0063,2022-07-27,148.19,Clothing,False
T01407,C0303,2024-05-19,292.98,Beauty,False
T02174,C0090,2023-01-01,274.88,Home & Living,False
T02083,C0418,2023-12-04,45.46,Electronics,False
T02120,C0369,2024-02-04,166.66,Clothing,False
T00786,C0175,2024-05-09,175.37,Home & Living,False
T02144,C0102,2024-01-20,118.06,Electronics,False
T01574,C0310,2024-05-28,52.23,Sports,False
T00451,C0062,2024-03-11,152.57,Electronics,False
T00014,C0246,2023-09-07,40.6,Beauty,False
T00720,C0016,2024-06-30,116.4,Home & Living,False
T00297,C0330,2024-06-02,54.44,Clothing,False
T01085,C0293,2022-09-30,55.48,Electronics,False
T02014,C0214,2024-05-29,145.9,Electronics,False
T01980,C0031,2024-05-06,265.72,Clothing,False
T01814,C0173,2024-02-12,228.43,Sports,False
T00404,C0234,2024-03-07,163.63,Home & Living,False
T00860,C0088,2024-03-21,194.64,Beauty,False
T00515,C0133,2024-04-26,31.34,Clothing,False
T00603,C0192,2023-08-26,41.06,Home & Living,True
T01246,C0214,2024-03-28,262.32,Clothing,False
T00343,C0155,2024-02-14,102.75,Clothing,False
T01675,C0049,2023-11-30,122.58,Clothing,False
T01714,C0276,2023-12-28,62.54,Clothing,False
T00986,C0465,2022-09-17,75.48,Clothing,False
T02085,C0371,2022-08-29,157.46,Electronics,False
T01041,C0068,2023-10-20,57.87,Clothing,False
T00204,C0422,2024-06-07,42.86,Beauty,False
T01420,C0442,2023-09-06,21.45,Beauty,False
T01906,C0267,2024-03-24,42.46,Clothing,False
T01425,C0024,2024-02-07,322.25,Beauty,False
T01458,C0490,2022-11-12,597.24,Home & Living,False
T00415,C0258,2024-03-06,41.1,Clothing,False
T02054,C0415,2022-12-12,65.0,Electronics,True
T00317,C0057,2024-05-31,77.74,Beauty,False
T01811,C0078,2023-05-24,38.37,Home & Living,False
T00106,C0039,2022-11-27,46.76,Clothing,False
T01866,C0383,2023-07-12,123.91,Sports,False
T00122,C0498,2024-06-02,152.51,Clothing,False
T01035,C0310,2024-01-31,10.28,Clothing,False
T01195,C0302,2023-04-15,17.09,,False
T01090,C0405,2024-03-10,201.4,Clothing,False
T00922,C0063,2022-11-18,116.3,Clothing,False
T01765,C0124,2024-06-13,17.71,Beauty,False
T01369,C0050,2024-03-28,91.44,Clothing,True
T01166,C0372,2022-05-30,29.07,Electronics,False
T00116,C0189,2022-11-12,168.46,Electronics,False
T00077,C0112,2024-04-10,29.42,Home & Living,False
T01466,C0036,2023-04-08,17.47,Home & Living,False
T01771,C0031,2022-11-13,48.14,Beauty,True
T01201,C0121,2023-10-24,184.69,Food & Grocery,False
T02078,C0369,2024-03-19,112.4,Electronics,False
T02116,C0034,2024-02-02,51.26,Sports,False
T00531,C0096,2024-04-17,95.08,Clothing,False
T01068,C0133,2022-07-31,123.36,Food & Grocery,False
T00708,C0125,2024-04-01,51.51,Sports,False
T00949,C0206,2024-04-18,138.02,Home & Living,False
T00982,C0135,2024-03-26,86.77,,False
T00743,C0398,2023-02-22,79.71,Food & Grocery,False
T00650,C0293,2023-10-26,74.85,Clothing,False
T01503,C0410,2023-10-21,179.72,Home & Living,False
T01738,C0096,2023-12-27,36.58,Beauty,False
T01427,C0302,2024-02-11,282.85,Food & Grocery,False
T01333,C0444,2023-10-14,193.72,Home & Living,False
T01614,C0371,2022-08-21,35.36,Beauty,False
T01464,C0126,2024-04-12,87.24,Sports,False
T00963,C0450,2023-12-05,48.94,Sports,False
T00179,C0276,2024-01-15,68.19,Clothing,False
T02142,C0127,2023-05-06,59.62,Electronics,False
T01227,C0310,2024-03-18,88.28,Beauty,False
T01179,C0206,2023-08-06,100.61,Sports,True
T00586,C0159,2023-07-01,120.71,Home & Living,False
T01746,C0363,2023-09-11,113.3,Electronics,True
T01242,C0247,2023-11-25,46.94,Food & Grocery,False
T01577,C0372,2023-09-27,172.32,Clothing,False
T01028,C0155,2024-01-30,228.99,Home & Living,False
T01353,C0274,2024-01-07,48.95,Electronics,False
T01111,C0382,2022-12-12,67.36,Clothing,False
T02184,C0014,2023-05-01,43.48,Food & Grocery,False
T01959,C0247,2024-03-29,45.95,Sports,False
T01942,C0186,2023-02-09,81.29,Clothing,False
T02166,C0111,2024-04-08,158.55,Clothing,False
T01235,C0211,2024-02-09,43.72,Clothing,False
T01843,C0374,2023-12-27,159.46,Clothing,True
T01979,C0211,2024-03-13,59.0,Clothing,False
T01339,C0077,2023-08-23,85.36,Home & Living,False
T00064,C0310,2024-03-07,42.82,Beauty,False
T00694,C0325,2023-11-15,41.15,Clothing,True
T00446,C0140,2024-06-17,107.39,Clothing,False
T01908,C0318,2024-05-03,76.35,Sports,False
T00926,C0108,2023-03-04,68.96,Clothing,False
T01158,C0140,2023-05-15,58.96,Sports,False
T01302,C0325,2024-05-09,32.6,Home & Living,False
T02101,C0402,2023-04-08,440.06,Clothing,False
T01356,C0124,2024-02-11,51.27,Clothing,False
T01990,C0126,2024-01-31,49.89,Electronics,False
T01177,C0309,2024-03-28,156.45,Beauty,False
T01317,C0351,2024-01-07,206.39,Home & Living,False
T00846,C0382,2023-02-23,175.87,Food & Grocery,False
T01693,C0205,2024-06-23,92.36,Electronics,False
T01165,C0057,2024-04-05,60.75,Clothing,False
T00206,C0274,2023-08-24,27.17,Beauty,False
T00536,C0422,2024-04-25,136.89,Beauty,False
T01454,C0392,2024-03-30,521.82,Beauty,False
T00995,C0479,2024-03-07,160.72,Beauty,False
T00893,C0229,2024-03-22,67.32,Beauty,False
T01983,C0255,2023-05-15,92.52,Home & Living,False
T00434,C0126,2024-06-05,122.26,Clothing,False
T02027,C0363,2023-07-08,17.25,Clothing,False
T00862,C0103,2023-01-04,123.89,Food & Grocery,False
T00024,C0190,2023-03-25,120.78,Electronics,False
T01887,C0310,2023-08-17,90.9,Sports,False
T00428,C0133,2023-11-16,10.06,Beauty,False
T00766,C0303,2024-05-18,45.21,Sports,False
T00612,C0096,2024-01-13,78.93,Electronics,False
T00199,C0325,2024-04-11,21.21,Sports,False
T00050,C0063,2023-10-17,94.62,Sports,False
T00174,C0293,2023-10-04,233.84,Sports,False
T01362,C0482,2023-02-05,84.78,Clothing,False
T01967,C0361,2024-01-03,91.69,Electronics,False
T01076,C0276,2024-05-14,195.49,Sports,False
T00309,C0091,2024-02-14,69.32,Home & Living,False
T01324,C0133,2023-04-25,68.99,Clothing,False
T00630,C0027,2024-05-08,97.1,Food & Grocery,False
T01729,C0268,2022-09-27,54.24,Electronics,False
T00060,C0269,2023-11-16,34.5,Electronics,True
T00072,C0474,2023-04-24,134.95,Electronics,False
T00480,C0230,2023-05-12,108.34,Electronics,True
T01985,C0112,2024-05-02,115.33,Beauty,False
T00648,C0144,2024-02-23,67.44,Beauty,False
T00696,C0294,2024-03-23,21.36,Electronics,False
T00768,C0215,2023-12-18,102.86,Clothing,False
T00908,C0267,2023-11-09,216.54,Clothing,False
T01597,C0154,2024-05-14,118.73,Home & Living,False
T01193,C0415,2023-10-19,30.48,Beauty,False
T00163,C0049,2022-09-22,214.3,Electronics,False
T01558,C0372,2023-06-08,84.36,Electronics,False
T01791,C0211,2024-03-29,31.0,Home & Living,False
T01827,C0272,2023-08-14,29.32,Home & Living,False
T01813,C0114,2023-03-08,415.55,Electronics,False
T02008,C0211,2024-03-15,82.18,Electronics,False
T02067,C0181,2024-05-17,85.98,Clothing,False
T00257,C0406,2023-08-17,66.29,Beauty,False
T02073,C0038,2023-04-11,109.52,Electronics,False
T01728,C0263,2023-09-27,381.63,Clothing,False
T00441,C0057,2024-05-07,77.43,Food & Grocery,False
T00583,C0481,2023-03-14,91.5,Clothing,False
T00669,C0272,2023-07-17,102.36,Clothing,False
T00483,C0310,2024-06-27,10.0,Electronics,False
T00728,C0112,2024-03-18,46.18,Electronics,False
T00622,C0430,2024-04-22,52.06,Sports,False
T02040,C0274,2022-10-27,27.57,Clothing,False
T01287,C0283,2023-09-21,48.77,Beauty,True
T00021,C0096,2023-12-07,107.22,,False
T00817,C0096,2024-01-27,337.87,Electronics,False
T01044,C0281,2023-02-16,401.0,Clothing,False
T01593,C0019,2023-11-29,72.85,Home & Living,False
T00382,C0042,2024-05-25,342.39,Clothing,False
T01163,C0415,2023-07-20,66.0,Sports,False
T00788,C0048,2024-06-10,228.77,Sports,False
T01361,C0083,2024-01-10,68.13,Sports,False
T01713,C0228,2024-02-05,30.57,Electronics,False
T00553,C0062,2024-01-02,178.64,Food & Grocery,False
T00084,C0446,2023-06-04,151.95,Home & Living,False
T00462,C0410,2024-02-12,21.68,Clothing,False
T01991,C0112,2024-03-05,155.91,Home & Living,True
T00841,C0152,2022-07-30,36.92,Clothing,False
T00747,C0405,2024-01-21,78.19,Clothing,False
T00730,C0206,2023-12-25,67.99,Clothing,False
T01300,C0279,2023-08-02,99.42,Clothing,False
T01132,C0126,2024-01-14,291.03,Clothing,False
T02104,C0140,2024-03-31,267.05,Clothing,False
T00375,C0103,2022-06-06,79.18,Clothing,False
T00271,C0410,2023-11-20,52.0,Electronics,False
T01203,C0465,2023-12-08,59.74,Clothing,False
T01270,C0091,2022-11-19,61.98,Beauty,False
T00930,C0155,2023-05-02,87.16,Food & Grocery,False
T01781,C0174,2023-05-24,63.87,Electronics,False
T00465,C0370,2023-10-20,355.22,Sports,False
T01790,C0383,2023-01-06,157.91,Clothing,False
T01367,C0091,2023-08-12,68.62,Beauty,False
T01886,C0403,2022-11-17,57.74,Home & Living,False
T00430,C0111,2022-09-30,308.67,Clothing,False
T00987,C0152,2022-07-20,94.72,Clothing,False
T00026,C0215,2024-02-16,18.84,Sports,False
T00924,C0372,2024-05-31,100.2,Clothing,False
T01509,C0019,2024-05-04,122.56,Clothing,False
T00459,C0112,2024-04-21,123.01,Clothing,False
T00830,C0444,2024-06-14,65.68,Beauty,False
T00695,C0302,2023-12-15,29.81,Clothing,False
T00079,C0088,2022-09-29,103.95,Home & Living,False
T00367,C0293,2024-03-17,220.28,Beauty,False
T01510,C0283,2024-06-18,157.93,Sports,False
T00033,C0276,2023-12-05,140.45,Clothing,False
T01741,C0202,2024-03-31,191.99,Beauty,False
T01447,C0068,2022-06-13,47.1,Home & Living,False
T01936,C0276,2024-05-22,22.81,Beauty,False
T01055,C0157,2023-04-01,44.04,Clothing,False
T00850,C0126,2024-01-03,46.08,Clothing,False
T01733,C0175,2023-05-27,33.26,Clothing,False
T01491,C0202,2023-11-21,110.59,Beauty,False
T00306,C0083,2024-04-03,88.5,Sports,False
T00210,C0500,2022-05-27,320.91,Electronics,False
T01865,C0371,2022-06-28,223.61,Sports,False
T01282,C0280,2023-09-29,81.24,,False
T02196,C0049,2023-07-25,179.69,Home & Living,False
T00840,C0125,2023-09-19,35.3,Clothing,False
T00556,C0079,2023-06-22,64.03,Home & Living,False
T00549,C0049,2023-07-07,48.48,Sports,False
T01642,C0259,2023-11-29,43.57,Electronics,False
T01605,C0029,2023-10-30,16.46,,True
T02179,C0171,2024-01-02,91.33,Home & Living,False
T00484,C0078,2023-07-21,267.03,Electronics,False
